epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.782,1.56845,1.69222,1.42519,0.51305,0.62144,0.59973,0.32114,1.61792,1.43582,1.41025,0.0049974,0.0049974,0.0550234
2,1087.96,1.56984,1.32062,1.40999,0.62926,0.62979,0.58804,0.30088,1.67037,1.50453,1.48381,0.00979945,0.00979945,0.00982545
3,1570.75,1.55136,1.25159,1.42955,0.64873,0.65955,0.6551,0.3608,1.53222,1.24804,1.38735,0.009604,0.009604,0.009604
4,2054.41,1.48188,1.11683,1.39355,0.71482,0.69732,0.6989,0.39656,1.51458,1.12878,1.37268,0.009406,0.009406,0.009406
5,2539.13,1.44226,1.05299,1.37166,0.70838,0.73247,0.71676,0.41748,1.47174,1.09178,1.34574,0.009208,0.009208,0.009208
6,3024.4,1.40708,0.99581,1.34433,0.70602,0.74392,0.72566,0.42954,1.43137,1.03496,1.32466,0.00901,0.00901,0.00901
7,3507.9,1.39046,0.96245,1.33727,0.67425,0.76532,0.73469,0.43982,1.42007,0.97832,1.30526,0.008812,0.008812,0.008812
8,3988.32,1.37045,0.9351,1.32395,0.74658,0.74116,0.74477,0.45538,1.39413,0.94764,1.2916,0.008614,0.008614,0.008614
9,4541.72,1.35559,0.91442,1.30936,0.66853,0.79345,0.75486,0.46219,1.38034,0.88763,1.27832,0.008416,0.008416,0.008416
10,5024.11,1.33976,0.8928,1.29809,0.68395,0.77997,0.75764,0.46844,1.36626,0.89955,1.27432,0.008218,0.008218,0.008218
11,5507.39,1.32761,0.87078,1.29322,0.70911,0.76775,0.7645,0.47493,1.35078,0.89534,1.26639,0.00802,0.00802,0.00802
12,5988.61,1.3166,0.85851,1.28517,0.66612,0.81197,0.76997,0.48166,1.34807,0.87834,1.25559,0.007822,0.007822,0.007822
