epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,6657.97,1.3038,0.84264,1.27853,0.68065,0.8236,0.76985,0.48512,1.33262,0.85579,1.25422,0.007624,0.007624,0.007624
14,7140.43,1.29598,0.83688,1.27285,0.75322,0.7756,0.77262,0.48935,1.32331,0.85363,1.24573,0.007426,0.007426,0.007426
15,7618.5,1.2891,0.8226,1.2652,0.68567,0.82933,0.77823,0.49607,1.31259,0.82734,1.23955,0.007228,0.007228,0.007228
16,8100.56,1.2771,0.8158,1.26068,0.68336,0.82749,0.77609,0.4951,1.30883,0.82373,1.23443,0.00703,0.00703,0.00703
17,8581.67,1.26891,0.80303,1.25606,0.69372,0.83007,0.77809,0.50053,1.30202,0.79246,1.23306,0.006832,0.006832,0.006832
18,9063.87,1.2584,0.78922,1.25336,0.69968,0.83583,0.78219,0.50391,1.29896,0.80036,1.23254,0.006634,0.006634,0.006634
19,9547.71,1.25092,0.77999,1.24872,0.70378,0.83636,0.78303,0.50536,1.29275,0.79685,1.22724,0.006436,0.006436,0.006436
20,10031.9,1.24334,0.77499,1.23979,0.70398,0.83814,0.78534,0.50903,1.28506,0.79958,1.22285,0.006238,0.006238,0.006238
21,10512.1,1.23995,0.76517,1.23653,0.70401,0.8409,0.78911,0.51185,1.28326,0.76811,1.22143,0.00604,0.00604,0.00604
22,10995.4,1.23034,0.76107,1.23224,0.70893,0.83705,0.78872,0.51284,1.28101,0.7625,1.21933,0.005842,0.005842,0.005842
23,11475.6,1.22287,0.75053,1.2263,0.71875,0.83405,0.79017,0.51574,1.27582,0.76013,1.21558,0.005644,0.005644,0.005644
24,11957.2,1.21833,0.74555,1.22491,0.7175,0.83723,0.79047,0.51696,1.27297,0.76394,1.21385,0.005446,0.005446,0.005446
25,12438.9,1.21094,0.73702,1.21399,0.71055,0.84019,0.78941,0.51723,1.26922,0.75431,1.21034,0.005248,0.005248,0.005248
26,12921.7,1.20397,0.72995,1.21427,0.71601,0.8397,0.78995,0.51813,1.26725,0.75232,1.2107,0.00505,0.00505,0.00505
27,13404,1.19395,0.72186,1.20672,0.713,0.84144,0.7905,0.51844,1.26616,0.74119,1.20982,0.004852,0.004852,0.004852
28,13893.8,1.19041,0.71564,1.2041,0.71355,0.83968,0.7894,0.51876,1.26593,0.7382,1.20966,0.004654,0.004654,0.004654
29,14377.5,1.18335,0.70827,1.19618,0.71293,0.84484,0.79026,0.51911,1.26503,0.74073,1.2087,0.004456,0.004456,0.004456
30,14887.2,1.17966,0.70105,1.19522,0.71386,0.8466,0.78997,0.51975,1.26398,0.73951,1.20802,0.004258,0.004258,0.004258
31,15371.1,1.16936,0.69442,1.18654,0.71362,0.84576,0.78983,0.52066,1.26246,0.73483,1.20691,0.00406,0.00406,0.00406
32,15850.8,1.16121,0.68991,1.18652,0.71381,0.84775,0.7901,0.52098,1.26171,0.73126,1.20664,0.003862,0.003862,0.003862
33,16331.3,1.15481,0.68232,1.17874,0.7135,0.84996,0.7909,0.52205,1.26011,0.73,1.2059,0.003664,0.003664,0.003664
34,16810,1.15058,0.67465,1.17853,0.71353,0.8453,0.79124,0.52244,1.25904,0.72825,1.20547,0.003466,0.003466,0.003466
35,17289.8,1.13872,0.66837,1.17322,0.7133,0.8465,0.7911,0.52281,1.25806,0.728,1.20509,0.003268,0.003268,0.003268
36,17768.9,1.13054,0.66269,1.16592,0.71244,0.84805,0.79144,0.52305,1.25711,0.7267,1.20489,0.00307,0.00307,0.00307
37,18249.5,1.12624,0.65658,1.16033,0.71538,0.84609,0.79145,0.5237,1.25625,0.72467,1.20462,0.002872,0.002872,0.002872
38,18728.2,1.11729,0.64962,1.15617,0.71629,0.84508,0.7907,0.52356,1.25566,0.72288,1.20435,0.002674,0.002674,0.002674
39,19211.3,1.10936,0.6444,1.15262,0.71799,0.84473,0.79069,0.52405,1.25521,0.72147,1.20437,0.002476,0.002476,0.002476
40,19692.1,1.10235,0.63619,1.14832,0.71778,0.84493,0.79059,0.52389,1.25468,0.72087,1.20415,0.002278,0.002278,0.002278
41,20174,1.09522,0.63073,1.14058,0.71816,0.8451,0.79082,0.52414,1.25452,0.71947,1.20401,0.00208,0.00208,0.00208
42,20658.4,1.08749,0.62515,1.14073,0.71786,0.84494,0.79107,0.52455,1.25415,0.71816,1.20389,0.001882,0.001882,0.001882
43,21136.5,1.07975,0.61678,1.13251,0.71785,0.8454,0.79084,0.52477,1.25357,0.71708,1.20347,0.001684,0.001684,0.001684
44,21617.4,1.07306,0.61217,1.12722,0.71736,0.84487,0.79058,0.52469,1.253,0.71621,1.20303,0.001486,0.001486,0.001486
45,22098.6,1.06578,0.60601,1.12595,0.718,0.84497,0.79017,0.52509,1.25267,0.71521,1.20292,0.001288,0.001288,0.001288
46,22580.7,1.05883,0.60025,1.12112,0.7188,0.84369,0.79025,0.52531,1.25256,0.71441,1.20304,0.00109,0.00109,0.00109
47,23061.9,1.04898,0.59509,1.11499,0.71849,0.84268,0.78989,0.5254,1.25228,0.71371,1.20302,0.000892,0.000892,0.000892
48,23549.4,1.04354,0.59015,1.11414,0.71915,0.84307,0.78974,0.52549,1.25215,0.71331,1.20309,0.000694,0.000694,0.000694
49,24029.1,1.03475,0.58478,1.10912,0.71978,0.8428,0.78946,0.52519,1.25208,0.71279,1.20327,0.000496,0.000496,0.000496
50,24510.6,1.02917,0.57852,1.10631,0.71922,0.84343,0.78925,0.52503,1.25186,0.71258,1.20338,0.000298,0.000298,0.000298
