epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,793.79,1.63272,1.82188,1.54266,0.55025,0.55073,0.53777,0.2729,1.72949,1.60351,1.6479,0.000199792,0.000199792,0.0802206
2,1520.98,1.57891,1.48895,1.50482,0.60349,0.60077,0.54352,0.26786,1.71148,1.44985,1.67023,0.000399694,0.000399694,0.0604205
3,2243.62,1.54184,1.37847,1.4811,0.67357,0.62716,0.65323,0.36193,1.58345,1.2392,1.54692,0.000599206,0.000599206,0.04062
4,2960.62,1.50317,1.30602,1.4572,0.70139,0.66315,0.66611,0.36949,1.57874,1.17003,1.53104,0.000798035,0.000798035,0.0208188
5,3678.16,1.48115,1.27251,1.44404,0.65125,0.69006,0.67272,0.36805,1.59639,1.1404,1.55573,0.00099589,0.00099589,0.00101668
6,4394.6,1.46094,1.22928,1.43217,0.69473,0.69583,0.6903,0.39434,1.54978,1.07069,1.50862,0.000993906,0.000993906,0.000993906
7,5111,1.44191,1.1908,1.41844,0.69966,0.72482,0.69963,0.40478,1.50872,1.02295,1.47465,0.000991232,0.000991232,0.000991232
8,5827.74,1.42083,1.15393,1.40086,0.66228,0.71163,0.70918,0.41706,1.49598,1.02346,1.47086,0.000988079,0.000988079,0.000988079
9,6544.16,1.40997,1.13135,1.38752,0.66846,0.74537,0.72633,0.434,1.46584,0.99157,1.45062,0.000984449,0.000984449,0.000984449
10,7259.59,1.39754,1.12012,1.38864,0.66745,0.75946,0.73285,0.43627,1.46111,0.94939,1.43944,0.000980345,0.000980345,0.000980345
11,7975.39,1.38213,1.09332,1.37759,0.67581,0.75586,0.73949,0.44103,1.45206,0.9465,1.43476,0.000975773,0.000975773,0.000975773
12,8690.62,1.37943,1.09009,1.37374,0.66425,0.7715,0.74409,0.45196,1.43418,0.92175,1.42058,0.000970736,0.000970736,0.000970736
13,9405.91,1.36642,1.06384,1.36558,0.67635,0.7631,0.73983,0.44446,1.44065,0.91327,1.42165,0.000965239,0.000965239,0.000965239
14,10120.9,1.36014,1.05501,1.35526,0.68477,0.7751,0.75118,0.4589,1.42486,0.89741,1.41006,0.000959289,0.000959289,0.000959289
